"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.303440708E0,-8.263042501E-1,-1.099765955E0,2.471920942E0
1.313438625E0,-5.427851884E-1,-1.192732883E0,2.915391904E0
1.323436625E0,-4.801484987E-2,-1.222734946E0,3.348029144E0
1.333435625E0,5.087598020E-1,-1.323519894E0,3.477985266E0
1.343433625E0,9.251220484E-1,-1.366793091E0,3.267166244E0
1.353431625E0,1.184828397E0,-1.379367528E0,2.723028449E0
1.363429625E0,1.199130541E0,-1.489574094E0,1.737806525E0
1.373428625E0,1.095649296E0,-1.654143102E0,5.638785803E-1
1.383426625E0,1.115219049E0,-1.674450774E0,-4.207709008E-1
1.393424625E0,1.287679678E0,-1.467097982E0,-1.104170077E0
1.403422625E0,1.458719068E0,-1.180477411E0,-1.574514842E0
1.413421625E0,1.581897537E0,-8.832745492E-1,-1.827133269E0
1.423419625E0,1.628867927E0,-6.565107554E-1,-1.978881379E0
1.433417625E0,1.628733734E0,-5.569350117E-1,-2.069146017E0
1.443416625E0,1.570438456E0,-5.529138815E-1,-2.147822642E0
1.453414625E0,1.500616123E0,-5.806717837E-1,-2.232047106E0
1.463412625E0,1.346067489E0,-7.298909730E-1,-2.329365824E0
1.473410625E0,1.113665152E0,-9.067289007E-1,-2.477191622E0
1.483409625E0,9.442107224E-1,-1.054018509E0,-2.653700352E0
1.493407625E0,7.823516071E-1,-1.206243752E0,-2.843898582E0
1.503405625E0,5.700229807E-1,-1.350462402E0,-2.944281827E0
1.513404625E0,3.043431162E-1,-1.368420956E0,-2.906467298E0
1.523402625E0,1.038140249E-1,-1.281004497E0,-2.805799879E0
1.533400625E0,-7.556276388E-2,-1.224416021E0,-2.733775631E0
1.543398625E0,-1.990009215E-1,-1.141462157E0,-2.642885926E0
1.553397625E0,-2.377942738E-1,-1.003613756E0,-2.537424375E0
1.563395625E0,-1.277257747E-1,-7.764944512E-1,-2.345119978E0
1.573393625E0,1.849801755E-1,-4.909199470E-1,-2.098225974E0
1.583391625E0,3.705254113E-1,-2.685076511E-1,-2.021105293E0
1.593390625E0,3.643477549E-1,-7.760424614E-2,-2.156059615E0
1.603388625E0,3.555554429E-1,1.668406507E-1,-2.385482138E0
1.613386625E0,3.131168633E-1,4.215187597E-1,-2.602910267E0
1.623385625E0,3.004854157E-1,6.206605992E-1,-2.661845523E0
1.633383625E0,2.797271058E-1,7.971713752E-1,-2.626980915E0
1.643381625E0,1.753243394E-1,8.930455390E-1,-2.538878578E0
1.653379625E0,3.059738316E-3,9.746837792E-1,-2.299436851E0
1.663378625E0,-8.391127221E-2,1.048304610E0,-1.834867381E0
1.673376625E0,-5.758279502E-2,1.112960489E0,-1.183904464E0
1.683374625E0,3.726039503E-2,1.108585602E0,-5.251974946E-1
1.693373625E0,1.774680383E-1,1.130236965E0,2.584311444E-1
1.703371625E0,3.200192821E-1,1.214972768E0,1.204477893E0
1.713369625E0,4.880374159E-1,1.272282498E0,1.997577267E0
1.723367625E0,6.706390171E-1,1.230284871E0,2.308746203E0
1.733366625E0,6.539681668E-1,1.056672268E0,2.133118064E0
1.743364625E0,4.854446508E-1,8.932063374E-1,1.640242808E0
1.753362625E0,2.233737609E-1,8.322327420E-1,1.023781387E0
1.763360625E0,-3.520910041E-2,9.040847898E-1,4.621183169E-1
1.773359625E0,-2.011555292E-1,9.674452186E-1,-2.760353565E-2
1.783357625E0,-2.692136476E-1,1.015021966E0,-3.953600711E-1
1.793355625E0,-2.188369063E-1,1.062473290E0,-4.703997284E-1
1.803354625E0,-6.896011538E-2,1.058687218E0,-2.146682435E-1
1.813352625E0,2.072882534E-1,1.060807711E0,3.067215443E-1
1.823350625E0,3.750276212E-1,9.791598228E-1,8.393917805E-1
1.833348625E0,2.931107246E-1,8.311159238E-1,1.188928392E0
1.843347625E0,9.008435137E-2,7.414450711E-1,1.369793882E0
1.853345625E0,4.734290886E-2,7.524781823E-1,1.658437005E0
1.863343625E0,1.319333215E-1,8.202181756E-1,2.074683330E0
1.873341625E0,3.779571219E-2,9.323905760E-1,2.437814133E0
1.883340625E0,-1.604193847E-1,1.080456694E0,2.679742096E0
1.893338625E0,-2.219015965E-1,1.162207786E0,3.007151089E0
1.903336625E0,-1.079604134E-1,1.092689362E0,3.342704085E0
1.913335625E0,-7.138023226E-2,8.044195837E-1,3.670518875E0
1.923333625E0,-4.071964435E-2,4.656991518E-1,3.991288354E0
1.933331625E0,-4.457895286E-2,1.016479969E-2,4.129692534E0
1.943329625E0,4.710663110E-5,-5.232611892E-1,4.078717677E0
1.953328625E0,6.119743410E-2,-1.016267715E0,4.061229824E0
1.963326625E0,-6.531595699E-3,-1.366289353E0,4.064363932E0
1.973324625E0,-9.612976022E-2,-1.550779240E0,3.963303580E0
1.983322625E0,-2.373808756E-1,-1.704045287E0,3.553169934E0
1.993321625E0,-4.721033147E-1,-1.807280218E0,2.731192916E0
2.003319625E0,-7.749211116E-1,-1.815344405E0,1.684406828E0
2.013317625E0,-1.042132143E0,-1.640779290E0,7.506222761E-1
2.023316625E0,-1.229452666E0,-1.337837094E0,4.151055336E-2
2.033314625E0,-1.255820685E0,-9.746665299E-1,-4.302200013E-1
2.043312625E0,-1.119307349E0,-6.450066510E-1,-5.947238123E-1
2.053310625E0,-9.166603965E-1,-5.192494145E-1,-4.853013575E-1
2.063309625E0,-6.463083874E-1,-5.502107137E-1,-1.869337302E-1
2.073307625E0,-4.790200592E-1,-6.114491880E-1,3.258635741E-1
2.083305625E0,-3.528598034E-1,-6.900989163E-1,8.582496357E-1
2.093303625E0,-2.625087733E-1,-8.523012632E-1,1.167436951E0
2.103302625E0,-2.354528294E-1,-1.135504137E0,1.251984181E0
2.113300625E0,-2.524908849E-1,-1.447968231E0,1.103707563E0
2.123298625E0,-3.035096687E-1,-1.717076976E0,9.552970433E-1
2.133297625E0,-3.743158688E-1,-1.914545050E0,6.615072012E-1
2.143295625E0,-5.503044154E-1,-1.980816808E0,1.935042465E-1
2.153293625E0,-8.002875026E-1,-1.862993073E0,-4.289991027E-1
2.163291625E0,-9.884981916E-1,-1.636357918E0,-1.101216064E0
2.173290625E0,-1.125325888E0,-1.394914690E0,-1.663587817E0
2.183288625E0,-1.277759000E0,-1.215523283E0,-2.087310392E0
2.193286625E0,-1.400638091E0,-1.108005266E0,-2.368341025E0
2.203284625E0,-1.491736687E0,-1.059134822E0,-2.428983668E0
2.213283625E0,-1.420071750E0,-9.873105490E-1,-2.259398042E0
2.223281625E0,-1.320343687E0,-9.670973092E-1,-2.037254718E0
2.233279625E0,-1.282266618E0,-9.808639938E-1,-1.748216908E0
2.243277625E0,-1.166104517E0,-1.017584508E0,-1.536928940E0
2.253276625E0,-1.090341924E0,-1.077343637E0,-1.482400146E0
2.263274625E0,-1.075032744E0,-1.055176257E0,-1.486372159E0
2.273272625E0,-1.040765064E0,-9.356977612E-1,-1.516475964E0
2.283271625E0,-9.729396278E-1,-7.101729923E-1,-1.504637691E0
2.293269625E0,-9.279146055E-1,-4.285190463E-1,-1.424671170E0
2.303267625E0,-8.826928244E-1,-1.910314590E-1,-1.282538221E0
2.313265583E0,-8.454646256E-1,-2.661184788E-2,-1.121433397E0
2.323264583E0,-8.114377043E-1,5.708929002E-2,-9.280256295E-1
2.333262583E0,-8.385588446E-1,6.088881075E-2,-7.145180583E-1
2.343260583E0,-8.408662290E-1,-1.409062028E-2,-4.998597550E-1
2.353258583E0,-8.728100798E-1,-9.933483839E-2,-3.008491856E-1
2.363257583E0,-9.567303421E-1,-2.174357307E-1,-1.437976509E-1
2.373255583E0,-9.935982793E-1,-2.920076108E-1,7.736451030E-2
2.383253583E0,-9.187760653E-1,-2.845255136E-1,2.760727787E-1
2.393251583E0,-8.544463143E-1,-1.988100100E-1,3.504464382E-1
2.403250583E0,-7.601419086E-1,-3.647493124E-2,3.102263653E-1
2.413248583E0,-5.946702372E-1,9.953890622E-2,2.084327728E-1
2.423246583E0,-5.348861848E-1,2.188256139E-1,6.717632174E-2
2.433245583E0,-5.056077873E-1,3.186422628E-1,-4.889090896E-2
2.443243583E0,-3.935355205E-1,4.194541079E-1,-8.504599750E-2
2.453241583E0,-2.835783378E-1,4.942850196E-1,-6.788441956E-2
2.463239583E0,-2.136666886E-1,5.269966829E-1,-1.794919789E-2
2.473238583E0,-2.591734484E-1,5.199683297E-1,2.324677527E-2
2.483236583E0,-3.709218525E-1,4.913725215E-1,6.653312802E-2
2.493234583E0,-4.209957994E-1,4.402035373E-1,1.320792460E-1
2.503232583E0,-4.952371656E-1,4.086022604E-1,2.854406029E-1
2.513231583E0,-5.770723839E-1,3.934287357E-1,4.838623577E-1
